[2025-01-24T22:33:34.944+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-01-24T22:33:34.958+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: pull_gazettes_data.preprocess_documents_task manual__2025-01-24T21:10:42.449118+00:00 [queued]>
[2025-01-24T22:33:34.964+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: pull_gazettes_data.preprocess_documents_task manual__2025-01-24T21:10:42.449118+00:00 [queued]>
[2025-01-24T22:33:34.965+0000] {taskinstance.py:2865} INFO - Starting attempt 16 of 16
[2025-01-24T22:33:35.243+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-26_7140-page-32-32.pdf already broken down into
[2025-01-24T22:33:35.243+0000] {logging_mixin.py:190} INFO - Breaking down pdf 3106200_2024-11-27_7141.pdf into multiple PDF single pages
[2025-01-24T22:33:35.393+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-0-0.pdf already broken down into
[2025-01-24T22:33:35.393+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-1-1.pdf already broken down into
[2025-01-24T22:33:35.394+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-2-2.pdf already broken down into
[2025-01-24T22:33:35.394+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-3-3.pdf already broken down into
[2025-01-24T22:33:35.395+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-4-4.pdf already broken down into
[2025-01-24T22:33:35.395+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-5-5.pdf already broken down into
[2025-01-24T22:33:35.395+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-6-6.pdf already broken down into
[2025-01-24T22:33:35.396+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-7-7.pdf already broken down into
[2025-01-24T22:33:35.396+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-8-8.pdf already broken down into
[2025-01-24T22:33:35.397+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-9-9.pdf already broken down into
[2025-01-24T22:33:35.397+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-10-10.pdf already broken down into
[2025-01-24T22:33:35.398+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-11-11.pdf already broken down into
[2025-01-24T22:33:35.398+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-12-12.pdf already broken down into
[2025-01-24T22:33:35.398+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-13-13.pdf already broken down into
[2025-01-24T22:33:35.399+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-14-14.pdf already broken down into
[2025-01-24T22:33:35.399+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-15-15.pdf already broken down into
[2025-01-24T22:33:35.399+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-16-16.pdf already broken down into
[2025-01-24T22:33:35.400+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-17-17.pdf already broken down into
[2025-01-24T22:33:35.400+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-18-18.pdf already broken down into
[2025-01-24T22:33:35.400+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-19-19.pdf already broken down into
[2025-01-24T22:33:35.400+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-20-20.pdf already broken down into
[2025-01-24T22:33:35.401+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-21-21.pdf already broken down into
[2025-01-24T22:33:35.401+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-22-22.pdf already broken down into
[2025-01-24T22:33:35.401+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-23-23.pdf already broken down into
[2025-01-24T22:33:35.402+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-24-24.pdf already broken down into
[2025-01-24T22:33:35.402+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-25-25.pdf already broken down into
[2025-01-24T22:33:35.403+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-26-26.pdf already broken down into
[2025-01-24T22:33:35.403+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-27-27.pdf already broken down into
[2025-01-24T22:33:35.403+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-28-28.pdf already broken down into
[2025-01-24T22:33:35.404+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-29-29.pdf already broken down into
[2025-01-24T22:33:35.404+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-30-30.pdf already broken down into
[2025-01-24T22:33:35.404+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-31-31.pdf already broken down into
[2025-01-24T22:33:35.405+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-32-32.pdf already broken down into
[2025-01-24T22:33:35.405+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-33-33.pdf already broken down into
[2025-01-24T22:33:35.406+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-34-34.pdf already broken down into
[2025-01-24T22:33:35.406+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-35-35.pdf already broken down into
[2025-01-24T22:33:35.406+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-27_7141-page-36-36.pdf already broken down into
[2025-01-24T22:33:35.407+0000] {logging_mixin.py:190} INFO - Breaking down pdf 3106200_2024-11-28_7142.pdf into multiple PDF single pages
[2025-01-24T22:33:35.552+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-0-0.pdf already broken down into
[2025-01-24T22:33:35.553+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-1-1.pdf already broken down into
[2025-01-24T22:33:35.553+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-2-2.pdf already broken down into
[2025-01-24T22:33:35.553+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-3-3.pdf already broken down into
[2025-01-24T22:33:35.553+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-4-4.pdf already broken down into
[2025-01-24T22:33:35.554+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-5-5.pdf already broken down into
[2025-01-24T22:33:35.554+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-6-6.pdf already broken down into
[2025-01-24T22:33:35.554+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-7-7.pdf already broken down into
[2025-01-24T22:33:35.555+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-8-8.pdf already broken down into
[2025-01-24T22:33:35.555+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-9-9.pdf already broken down into
[2025-01-24T22:33:35.555+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-10-10.pdf already broken down into
[2025-01-24T22:33:35.556+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-11-11.pdf already broken down into
[2025-01-24T22:33:35.556+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-12-12.pdf already broken down into
[2025-01-24T22:33:35.557+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-13-13.pdf already broken down into
[2025-01-24T22:33:35.557+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-14-14.pdf already broken down into
[2025-01-24T22:33:35.557+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-15-15.pdf already broken down into
[2025-01-24T22:33:35.558+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-16-16.pdf already broken down into
[2025-01-24T22:33:35.558+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-17-17.pdf already broken down into
[2025-01-24T22:33:35.558+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-18-18.pdf already broken down into
[2025-01-24T22:33:35.558+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-19-19.pdf already broken down into
[2025-01-24T22:33:35.559+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-20-20.pdf already broken down into
[2025-01-24T22:33:35.559+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-21-21.pdf already broken down into
[2025-01-24T22:33:35.560+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-22-22.pdf already broken down into
[2025-01-24T22:33:35.560+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-23-23.pdf already broken down into
[2025-01-24T22:33:35.560+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-24-24.pdf already broken down into
[2025-01-24T22:33:35.561+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-25-25.pdf already broken down into
[2025-01-24T22:33:35.561+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-26-26.pdf already broken down into
[2025-01-24T22:33:35.561+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-27-27.pdf already broken down into
[2025-01-24T22:33:35.562+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-28-28.pdf already broken down into
[2025-01-24T22:33:35.562+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-29-29.pdf already broken down into
[2025-01-24T22:33:35.562+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-30-30.pdf already broken down into
[2025-01-24T22:33:35.563+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-31-31.pdf already broken down into
[2025-01-24T22:33:35.563+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-32-32.pdf already broken down into
[2025-01-24T22:33:35.563+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-33-33.pdf already broken down into
[2025-01-24T22:33:35.564+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-34-34.pdf already broken down into
[2025-01-24T22:33:35.564+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-35-35.pdf already broken down into
[2025-01-24T22:33:35.564+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-36-36.pdf already broken down into
[2025-01-24T22:33:35.565+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-37-37.pdf already broken down into
[2025-01-24T22:33:35.565+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-38-38.pdf already broken down into
[2025-01-24T22:33:35.565+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-39-39.pdf already broken down into
[2025-01-24T22:33:35.566+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-40-40.pdf already broken down into
[2025-01-24T22:33:35.566+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-41-41.pdf already broken down into
[2025-01-24T22:33:35.566+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-42-42.pdf already broken down into
[2025-01-24T22:33:35.567+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-43-43.pdf already broken down into
[2025-01-24T22:33:35.567+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-44-44.pdf already broken down into
[2025-01-24T22:33:35.567+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-45-45.pdf already broken down into
[2025-01-24T22:33:35.568+0000] {logging_mixin.py:190} INFO - Breaking down pdf 3106200_2024-11-29_7143.pdf into multiple PDF single pages
[2025-01-24T22:33:35.703+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-0-0.pdf already broken down into
[2025-01-24T22:33:35.704+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-1-1.pdf already broken down into
[2025-01-24T22:33:35.704+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-2-2.pdf already broken down into
[2025-01-24T22:33:35.704+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-3-3.pdf already broken down into
[2025-01-24T22:33:35.705+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-4-4.pdf already broken down into
[2025-01-24T22:33:35.705+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-5-5.pdf already broken down into
[2025-01-24T22:33:35.705+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-6-6.pdf already broken down into
[2025-01-24T22:33:35.706+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-7-7.pdf already broken down into
[2025-01-24T22:33:35.706+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-8-8.pdf already broken down into
[2025-01-24T22:33:35.707+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-9-9.pdf already broken down into
[2025-01-24T22:33:35.707+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-10-10.pdf already broken down into
[2025-01-24T22:33:35.707+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-11-11.pdf already broken down into
[2025-01-24T22:33:35.708+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-12-12.pdf already broken down into
[2025-01-24T22:33:35.708+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-13-13.pdf already broken down into
[2025-01-24T22:33:35.708+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-14-14.pdf already broken down into
[2025-01-24T22:33:35.709+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-15-15.pdf already broken down into
[2025-01-24T22:33:35.709+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-16-16.pdf already broken down into
[2025-01-24T22:33:35.709+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-17-17.pdf already broken down into
[2025-01-24T22:33:35.710+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-18-18.pdf already broken down into
[2025-01-24T22:33:35.710+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-19-19.pdf already broken down into
[2025-01-24T22:33:35.710+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-20-20.pdf already broken down into
[2025-01-24T22:33:35.710+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-21-21.pdf already broken down into
[2025-01-24T22:33:35.711+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-22-22.pdf already broken down into
[2025-01-24T22:33:35.711+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-23-23.pdf already broken down into
[2025-01-24T22:33:35.711+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-24-24.pdf already broken down into
[2025-01-24T22:33:35.712+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-25-25.pdf already broken down into
[2025-01-24T22:33:35.712+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-26-26.pdf already broken down into
[2025-01-24T22:33:35.712+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-27-27.pdf already broken down into
[2025-01-24T22:33:35.713+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-28-28.pdf already broken down into
[2025-01-24T22:33:35.713+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-29-29.pdf already broken down into
[2025-01-24T22:33:35.713+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-30-30.pdf already broken down into
[2025-01-24T22:33:35.713+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-31-31.pdf already broken down into
[2025-01-24T22:33:35.714+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-32-32.pdf already broken down into
[2025-01-24T22:33:35.714+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-33-33.pdf already broken down into
[2025-01-24T22:33:35.714+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-34-34.pdf already broken down into
[2025-01-24T22:33:35.714+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-35-35.pdf already broken down into
[2025-01-24T22:33:35.715+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-36-36.pdf already broken down into
[2025-01-24T22:33:35.715+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-37-37.pdf already broken down into
[2025-01-24T22:33:35.715+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-38-38.pdf already broken down into
[2025-01-24T22:33:35.716+0000] {logging_mixin.py:190} INFO - Breaking down pdf 3106200_2024-11-30_7144.pdf into multiple PDF single pages
[2025-01-24T22:33:35.847+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-30_7144-page-0-0.pdf already broken down into
[2025-01-24T22:33:35.848+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-30_7144-page-1-1.pdf already broken down into
[2025-01-24T22:33:35.848+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-30_7144-page-2-2.pdf already broken down into
[2025-01-24T22:33:35.848+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-30_7144-page-3-3.pdf already broken down into
[2025-01-24T22:33:35.849+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-30_7144-page-4-4.pdf already broken down into
[2025-01-24T22:33:35.849+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-30_7144-page-5-5.pdf already broken down into
[2025-01-24T22:33:35.849+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-30_7144-page-6-6.pdf already broken down into
[2025-01-24T22:33:35.850+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-30_7144-page-7-7.pdf already broken down into
[2025-01-24T22:33:35.850+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-30_7144-page-8-8.pdf already broken down into
[2025-01-24T22:33:35.851+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-30_7144-page-9-9.pdf already broken down into
[2025-01-24T22:33:35.851+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-30_7144-page-10-10.pdf already broken down into
[2025-01-24T22:33:35.851+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-30_7144-page-11-11.pdf already broken down into
[2025-01-24T22:33:35.852+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-30_7144-page-12-12.pdf already broken down into
[2025-01-24T22:33:35.852+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-30_7144-page-13-13.pdf already broken down into
[2025-01-24T22:33:35.853+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-30_7144-page-14-14.pdf already broken down into
[2025-01-24T22:33:35.853+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-30_7144-page-15-15.pdf already broken down into
[2025-01-24T22:33:35.853+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-30_7144-page-16-16.pdf already broken down into
[2025-01-24T22:33:35.854+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-30_7144-page-17-17.pdf already broken down into
[2025-01-24T22:33:35.854+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-30_7144-page-18-18.pdf already broken down into
[2025-01-24T22:33:35.855+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-30_7144-page-19-19.pdf already broken down into
[2025-01-24T22:33:35.855+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-30_7144-page-20-20.pdf already broken down into
[2025-01-24T22:33:35.855+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-30_7144-page-21-21.pdf already broken down into
[2025-01-24T22:33:35.856+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-30_7144-page-22-22.pdf already broken down into
[2025-01-24T22:33:35.856+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-30_7144-page-23-23.pdf already broken down into
[2025-01-24T22:33:35.857+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-30_7144-page-24-24.pdf already broken down into
[2025-01-24T22:33:35.857+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-30_7144-page-25-25.pdf already broken down into
