[2025-01-24T22:27:11.210+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-01-24T22:27:11.226+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: pull_gazettes_data.preprocess_documents_task manual__2025-01-24T21:10:42.449118+00:00 [queued]>
[2025-01-24T22:27:11.233+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: pull_gazettes_data.preprocess_documents_task manual__2025-01-24T21:10:42.449118+00:00 [queued]>
[2025-01-24T22:27:11.234+0000] {taskinstance.py:2865} INFO - Starting attempt 15 of 16
[2025-01-24T22:27:11.247+0000] {taskinstance.py:2888} INFO - Executing <Task(PreprocessDocuments): preprocess_documents_task> on 2025-01-24 21:10:42.449118+00:00
[2025-01-24T22:27:11.260+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=3801) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-01-24T22:27:11.999+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-24-24.pdf already broken down into
[2025-01-24T22:27:11.999+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-25-25.pdf already broken down into
[2025-01-24T22:27:11.999+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-26-26.pdf already broken down into
[2025-01-24T22:27:12.000+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-27-27.pdf already broken down into
[2025-01-24T22:27:12.000+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-28-28.pdf already broken down into
[2025-01-24T22:27:12.001+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-29-29.pdf already broken down into
[2025-01-24T22:27:12.001+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-30-30.pdf already broken down into
[2025-01-24T22:27:12.002+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-31-31.pdf already broken down into
[2025-01-24T22:27:12.002+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-32-32.pdf already broken down into
[2025-01-24T22:27:12.002+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-33-33.pdf already broken down into
[2025-01-24T22:27:12.003+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-34-34.pdf already broken down into
[2025-01-24T22:27:12.003+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-35-35.pdf already broken down into
[2025-01-24T22:27:12.003+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-36-36.pdf already broken down into
[2025-01-24T22:27:12.004+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-37-37.pdf already broken down into
[2025-01-24T22:27:12.004+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-38-38.pdf already broken down into
